,title,price,hour1,volume24,marketcap
141,TCT,0.008909,1.01,"83,5442,008,896 GAME",1.17
142,DREAMS,0.003247,0.80,"5,6985,302,486 FO",1.17
143,BBS,0.01214,0.51,"239,012659,223 ZYB",1.16
144,LOG,0.00964,0.12,"7,4721,695,387 ETHPAD",1.16
145,IBFK,0.00118,0.44,"148,84984,739,480 AME",1.16
146,DRM,0.001707,2.51,"492,3384,004,296 MARSH",1.16
147,WELT,0.01482,20.37,"1,964242,139 VPP",1.16
148,GAME,0.1444,0.73,"111,060 DTX",1.16
149,FO,1.52,7.96,"604,958 SATA",1.15
150,LEDU,0.006171,0.00,"3,618252,776 8PAY",884051.6
151,ZYB,0.005051,0.03,"44636,513,920 HTML",880396.5
152,ETHPAD,0.04159,3.79,"39,2193,435,540 MIST",878886.4
153,AME,0.001075,4.00,"855,826267,963,273 LIKE",878272.1
154,MARSH,0.003735,0.04,"43,08965,542,618 CATHEON",872482.9
155,MINT,0.3626,0.84,"1,563214,988 OK",869916.7
156,VPP,0.004407,2.48,"5517,460 TKS",867965.7
157,DTX,0.001757,21.50,"5,5518,793,087 NAFT",867925.2
158,SATA,0.123,0.02,"9,9131,052,392 RDN",860566.9
159,8PAY,0.00826,2.11,"502,931 NFT",858882.2
160,HTML,0.008113,0.03,"7,2763,791,552 SNET",648832.2
161,MIST,0.0103,0.37,"4158,821 KRB",643348.5
162,BTA,0.01208,0.09,"0.984221,313 SHIBX",640909.6
163,LIKE,0.01431,0.07,"5,9888,566,440,338 TKING",636746.1
164,CATHEON,0.0...01223,3.49,"468,752259,544,921 AAC",636730.8
165,OK,0.0...01223,19.58,"10,4337,431,163 MTN",633483.9
166,TKS,0.01142,0.02,"354,7641,379,933 HGET",632941.0
167,NAFT,0.1268,6.50,"7,6662,734,116 AYA",629764.0
168,RDN,0.003194,0.29,"288,5788,057,966 KEX",629195.9
169,NFT,0.0006574,1.54,"21,40718,283 BANK",629106.9
170,SNET,0.007268,9.27,"59,9774,075,646 FPFT",457894.3
171,KRB,0.003165,0.25,"33883,884 X8X",453820.9
172,NIX,0.0006312,7.50,"9,54561,410,871 RATING",452167.8
173,SHIBX,0.00942,8.43,"2,25217,305,968 CHEEMS",452028.0
174,TKING,0.01707,2.11,"48,81917,311,057 GEM",451581.2
175,AAC,0.001919,3.45,"451,258 ZCL",451513.0
176,MTN,0.047,2.38,"708,240327,037,523 RITE",450604.5
177,HGET,0.009183,0.13,"28442,458 GEN",450275.8
178,AYA,0.0...04618,5.19,"151,31210,797,490 PTF",449928.5
179,KEX,0.0...04618,1.04,"1,507675,919 JAR",448808.0
180,BANK,0.0...00699,6.06,"11,188215,971,452 XSR",333817.5
181,FPFT,0.0...00699,0.19,"16,89847,920 LEG",333755.1
182,X8X,0.001806,0.19,"10,143171,330 DHV",332703.4
183,RATING,0.001404,3.06,"15,62515,316,732 ARES",332697.9
184,CHEEMS,0.2571,11.46,"39,477177,819,030 CVT",331919.5
185,GEM,0.002804,0.04,"218,1833,336,000 MIT",331671.3
186,ZCL,0.03581,15.02,"9540,504,021 KANGAL",329023.4
187,RITE,1.17,29.03,"43411,203 IF",328384.0
188,GEN,0.01472,0.19,"213624,275 LEAD",328264.4
189,PTF,0.004032,0.09,"644,64550,230,242 STND",326679.2
190,JAR,0.0001554,1.34,"204,73811,916,877,365 UUU",241196.8
191,XSR,0.0001301,5.20,"168,53897,932,129 ARGON",240429.3
